,Cloudiness,country,Date,Humidity,lat,lon,City Name,Wind Speed,Max Temp
0,75,PT,1570032359,78,33.08,-16.33,Camacha,6.93,77.0
1,100,NZ,1570032309,85,-46.19,168.86,Mataura,6.8,42.01
2,40,CL,1570032359,61,-53.16,-70.91,Punta Arenas,24.16,50.0
3,40,AR,1570032099,75,-54.81,-68.31,Ushuaia,27.51,48.2
4,75,GB,1570032306,66,52.47,1.45,Broome,9.17,55.0
5,100,ZA,1570032359,34,-34.0,24.73,Kruisfontein,5.64,76.16
6,100,AU,1570032307,61,-33.64,115.35,Busselton,9.82,57.0
7,4,AU,1570032107,76,-42.88,147.33,Hobart,5.82,52.0
8,100,RU,1570032360,92,50.68,156.12,Severo-Kurilsk,10.11,47.54
9,91,RU,1570032360,78,63.46,48.9,Koslan,9.53,43.76
10,74,PT,1570032335,30,41.42,-6.55,Saldanha,4.94,72.2
11,40,GR,1570032361,69,39.45,22.34,Saint George,9.17,77.0
12,75,US,1570032361,79,30.04,-94.42,Nome,8.05,87.01
13,30,MV,1570032305,81,-0.6,73.08,Hithadhoo,19.37,82.28
14,75,BN,1570032259,88,5.28,115.24,Victoria,0.94,78.8
15,0,IN,1570032361,24,34.16,77.58,Leh,3.67,37.1
16,62,AR,1570032295,38,-38.31,-60.23,Barrow,10.54,57.08
17,20,SA,1570032362,25,17.54,44.22,Najran,9.17,89.6
18,100,PF,1570032292,80,-23.12,-134.97,Rikitea,14.72,64.46
19,40,US,1570032225,86,60.55,-151.26,Kenai,3.36,43.0
20,78,RU,1570032363,99,64.42,-173.23,Provideniya,9.57,36.74
21,100,RU,1570032363,98,67.68,53.15,Iskateley,13.0,32.6
22,31,RU,1570032363,61,54.72,135.31,Chumikan,6.29,30.26
23,40,GM,1570032363,70,13.49,-16.09,Kerewan,12.75,87.8
24,75,US,1570032324,83,22.08,-159.32,Kapaa,18.34,78.8
25,96,RO,1570032364,41,45.1,24.1,Manta,1.7,75.08
26,0,BR,1570032364,54,-22.97,-42.02,Arraial do Cabo,23.04,80.6
27,100,RU,1570032364,91,69.38,178.42,Leningradskiy,16.13,30.26
28,20,CO,1570032364,74,-3.77,-70.38,Puerto Narino,4.7,86.0
29,1,US,1570032329,43,39.62,-77.74,Vardo,14.99,91.0
30,77,PE,1570032314,90,-11.1,-77.61,Hualmay,13.18,61.58
31,0,CV,1570032365,83,14.9,-24.5,Sao Filipe,10.92,79.04
32,100,ZA,1570032079,86,-33.59,26.89,Port Alfred,7.0,64.99
33,75,CA,1570032341,80,62.45,-114.38,Yellowknife,6.93,41.0
34,40,CL,1570032335,57,-42.48,-73.76,Castro,5.82,48.2
35,90,US,1570032088,86,64.84,-147.72,Fairbanks,3.36,37.4
36,15,KZ,1570032366,28,43.35,52.85,Zhanaozen,5.21,66.62
37,100,RU,1570032336,76,69.7,170.27,Pevek,14.92,29.72
38,0,RU,1570032342,81,71.98,102.47,Khatanga,7.31,21.98
39,90,US,1570032307,73,42.65,-73.75,Albany,5.82,75.99
40,100,VU,1570032290,76,-19.55,169.27,Isangel,22.35,71.84
41,0,NA,1570032367,68,-26.65,15.16,Luderitz,25.28,68.0
42,100,RU,1570032316,92,71.64,128.87,Tiksi,21.99,27.56
43,0,AR,1570032367,30,-46.43,-67.52,Mar del Plata,12.62,49.34
44,0,ZA,1570032368,72,-33.02,27.91,East London,13.87,68.0
45,0,AU,1570032301,89,-23.58,149.07,Bluff,11.23,59.78
46,0,MD,1570032368,49,47.39,28.78,Mitoc,11.41,71.01
47,0,JP,1570032368,91,43.32,145.57,Nemuro,14.58,61.58
48,20,MX,1570032122,69,31.32,-113.53,Puerto Penasco,9.17,81.0
49,20,NO,1570032369,54,61.99,5.14,Raudeberg,11.41,57.2
50,10,UG,1570032369,46,-0.34,31.75,Masaka,11.99,79.04
51,75,JP,1570032369,73,33.93,134.5,Katsuura,25.28,77.0
52,55,GT,1570032370,76,14.78,-90.79,San Martin Jilotepeque,2.64,67.16
53,75,BN,1570032370,88,4.66,114.45,Lumut,4.7,78.8
54,90,CA,1570032186,100,43.26,-79.87,Hamilton,8.05,64.0
55,0,NZ,1570032370,82,-39.94,176.59,Waipawa,1.99,37.99
56,100,IN,1570032371,81,18.65,79.67,Manthani,0.96,78.86
57,0,CN,1570032371,73,39.7,122.97,Zhuanghe,4.41,61.76
58,77,NG,1570032371,43,10.41,10.6,Bara,5.53,89.66
59,80,KI,1570032291,65,3.07,172.79,Butaritari,6.6,84.62
60,23,KE,1570032371,30,-0.46,39.64,Garissa,13.6,93.44
61,90,US,1570032372,100,46.84,-105.12,Fallon,6.93,39.0
62,43,RU,1570032300,91,71.97,114.09,Saskylakh,3.6,16.94
63,4,AU,1570032368,76,-43.03,147.26,Margate,5.82,52.0
64,75,BO,1570032372,66,-14.3,-67.34,Reyes,5.82,86.0
65,4,AU,1570032373,76,-42.78,147.06,New Norfolk,5.82,52.0
66,75,US,1570032057,83,19.71,-155.08,Hilo,4.7,73.4
67,98,NZ,1570032325,79,-46.28,169.85,Kaitangata,4.0,41.0
68,20,CN,1570032373,71,40.71,112.04,Zhuhai,4.47,57.2
69,59,RU,1570032373,62,67.46,153.71,Srednekolymsk,14.94,25.04
70,75,RU,1570032309,81,59.7,30.79,Nikolskoye,8.95,46.4
71,0,TR,1570032374,22,37.57,44.29,Yuksekova,6.93,68.0
72,75,JP,1570032375,73,35.74,139.53,Nishihara,8.05,75.99
73,90,CA,1570032375,100,48.94,-125.55,Ucluelet,3.36,54.0
74,75,RU,1570032375,86,69.49,88.39,Talnakh,6.71,33.8
75,100,RU,1570032378,88,59.44,112.57,Vitim,9.95,32.24
76,0,AU,1570032379,81,-34.58,150.85,Flinders,4.32,57.0
77,59,GT,1570032379,21,14.97,-89.29,La Union,1.01,82.0
78,16,AU,1570032298,81,-33.21,138.6,Jamestown,0.72,51.86
79,25,TR,1570032379,73,36.37,30.29,Kumluca,5.35,63.74
80,20,SN,1570032380,62,14.69,-16.54,Gat,8.05,98.6
81,40,US,1570032347,40,31.21,-82.35,Waycross,8.05,89.01
82,75,CA,1570032381,72,66.15,-65.72,Pangnirtung,2.04,35.6
83,82,IN,1570032289,88,15.34,74.49,Vaini,1.83,77.42
84,0,BR,1570032381,30,-18.59,-39.73,Conceicao da Barra,4.09,85.34
85,73,SD,1570032381,22,14.2,24.66,Kutum,18.34,87.5
86,33,RU,1570032382,81,63.86,57.31,Vuktyl,12.24,43.94
87,0,PF,1570032339,72,-9.8,-139.03,Atuona,14.43,79.4
88,82,CA,1570032382,82,48.65,-53.11,Bonavista,1.99,46.99
89,0,ES,1570032382,78,28.66,-17.92,Los Llanos de Aridane,11.41,82.99
90,40,CL,1570032322,57,-41.87,-73.83,Ancud,5.82,48.2
91,75,US,1570032386,74,43.97,-111.68,Saint Anthony,18.34,37.4
92,13,IN,1570032387,71,10.57,72.64,Kavaratti,5.84,82.82
93,66,VE,1570032387,48,10.47,-68.01,Puerto Cabello,4.27,91.1
94,58,NC,1570032387,74,-21.35,165.16,Poya,13.2,67.7
95,5,CA,1570032355,80,55.74,-97.86,Thompson,4.7,33.8
96,88,PG,1570032384,83,-2.02,147.27,Lorengau,1.83,77.24
97,40,SA,1570032385,72,18.39,42.45,Faya,12.75,71.6
98,96,CA,1570032388,96,50.56,-96.99,Husavik,5.32,42.01
99,14,CK,1570032308,73,-21.21,-159.78,Avarua,3.36,69.8
100,100,PG,1570032365,76,-6.22,155.63,Kieta,6.93,81.2
101,79,ID,1570032389,89,-9.65,120.26,Waingapu,10.51,72.02
102,100,ZA,1570032292,55,-34.53,20.04,Bredasdorp,19.46,64.4
103,64,CG,1570032389,72,-1.87,15.88,Gamboma,4.36,82.1
104,40,OM,1570032389,83,17.01,54.1,Salalah,9.17,80.6
105,78,PG,1570032358,84,-3.66,152.44,Namatanai,9.69,78.5
106,75,PW,1570032390,94,7.04,134.26,Kloulklubed,5.97,75.2
107,90,US,1570032104,100,60.79,-161.76,Bethel,8.05,46.4
108,100,CD,1570032393,61,-1.93,18.29,Inongo,0.49,85.52
109,40,GY,1570032200,79,6.8,-58.16,Georgetown,9.17,86.0
110,75,CA,1570032394,86,70.47,-68.59,Clyde River,3.36,37.4
111,0,YE,1570032394,60,12.79,45.03,Aden,11.77,87.32
112,29,RU,1570032310,86,68.75,161.3,Cherskiy,11.48,21.26
113,67,RU,1570032394,86,61.02,35.48,Voznesenye,6.69,44.48
114,81,RU,1570032395,81,57.51,50.5,Nema,7.65,45.92
115,100,RU,1570032395,80,68.54,146.19,Belaya Gora,23.98,27.74
116,20,JP,1570032101,93,35.73,140.83,Hasaki,2.24,64.4
117,75,MU,1570032395,83,-20.01,57.66,Grand Gaube,9.17,75.2
118,52,PF,1570032327,74,-16.48,-151.75,Faanui,19.17,76.34
119,90,CA,1570032396,100,50.02,-125.24,Campbell River,0.18,50.0
120,40,NO,1570032396,76,63.2,10.3,Ler,5.82,50.0
121,97,RU,1570032396,70,68.05,39.51,Ostrovnoy,22.21,35.66
